Issue Name,Code,Date,Suspension Time Start,Suspension Time End,Trading Restart Time,Reason,Trading Halts Details,Trading Halts Notice,Trading Halts Notice URL
"TESS Holdings Co.,Ltd.",5074,"Jun. 21, 2023",15:01,15:45,15:46,An announcement was made related to Rights Offering,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
PORT INC.,7047,"Jun. 16, 2023",15:03,15:25,15:26,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
Enex Infrastructure Investment Corporation,9286,"Jun. 15, 2023",15:01,15:30,15:31,An announcement was made related to public offering,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"LONGLIFE HOLDING Co.,Ltd.",4355,"Jun. 14, 2023",17:00,17:25,17:26,"An announcement was made related to tender offer, Designated to a issue under supervision",Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
Kenedix Residential Next Investment Corporation,3278,"Jun. 13, 2023",15:07,15:45,15:46,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
Kenedix Retail REIT Corporation,3453,"Jun. 13, 2023",15:07,15:45,15:46,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
Kenedix Office Investment Corporation,8972,"Jun. 13, 2023",15:07,15:45,15:46,An announcement was made related to merger,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Wagokoro co.,ltd.",9271,"Jun. 07, 2023",17:02,whole day,-,Due to occurrence of material information related to allocation of new shares to a third party,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Puequ CO.,LTD.",9264,"Jun. 01, 2023",15:52,16:15,16:16,An announcement was made related to Rights Offering,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
"Kyokuto Co.,Ltd.",2300,"May 31, 2023",16:11,17:15,17:16,An announcement was made related to amendment of financial report,Archives,"TSE halts trading of the ETF ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund (Securities Code: 1324)"" for the time being from March 17.
Notice of Trading Halt, etc. Concerning ""NEXT FUNDS Russia RTS Linked Exchange Traded Fund(1324)""",https://www.jpx.co.jp/english/news/0060/20220309-01.html
