Name,Current Price,Change,Disclosure Date,Designation,Code
Aptamer Sciences,"5,250",90,6/15/2023,6/16/2023,291650
BORATR,"21,250",0,6/15/2023,6/16/2023,250000
CHEILGRINDING,"8,020",330,6/15/2023,6/16/2023,1560
Dasan Solueta,"3,260",170,6/15/2023,6/16/2023,154040
KISHAPVKOSPI200- C,590,75,6/15/2023,6/16/2023,57HAPV
OSTEONIC,"5,980",430,6/15/2023,6/16/2023,226400
PROTEC,"45,100",550,6/15/2023,6/16/2023,53610
SECUCEN,"5,430",190,6/15/2023,6/16/2023,232830
SamaAlum,"115,600","9,200",6/15/2023,6/16/2023,6110
SambuConst,"2,925",275,6/15/2023,6/16/2023,1470
DONGIL METAL,"21,700",0,6/14/2023,6/15/2023,109860
Hantop,"2,010",90,6/14/2023,6/15/2023,2680
INSAN,"3,480",575,6/14/2023,6/15/2023,277410
KISHAPVKOSPI200- C,590,75,6/14/2023,6/15/2023,57HAPV
LiComm,"3,940",15,6/14/2023,6/15/2023,388790
MIRAEJ558KOSPI200- C,240,35,6/14/2023,6/15/2023,52J558
MIRAEJ784KOSPI200- P,65,25,6/14/2023,6/15/2023,52J784
MIRAEJ785KOSPI200- P,95,35,6/14/2023,6/15/2023,52J785
MIRAEJ787KOSPI200- P,260,65,6/14/2023,6/15/2023,52J787
MIRAEJ788KOSPI200- P,480,85,6/14/2023,6/15/2023,52J788
ManhoRope&Wire,"45,800",0,6/14/2023,6/15/2023,1080
OSTEONIC,"5,980",430,6/14/2023,6/15/2023,226400
Pangrim,"5,110",0,6/14/2023,6/15/2023,3610
SECUCEN,"5,430",190,6/14/2023,6/15/2023,232830
SINGSONGHOLDINGS,"13,530","1,360",6/14/2023,6/15/2023,6880
SSR,"4,545",85,6/14/2023,6/15/2023,275630
DONGWON METAL,"2,180",249,6/13/2023,6/14/2023,18500
DONGWON METAL,"2,180",249,6/13/2023,6/14/2023,18500
ECOPRO,"740,000","30,000",6/13/2023,6/14/2023,86520
HDBIO,"33,050","1,300",6/13/2023,6/14/2023,48410
KBJ100KOSPI200- C,115,20,6/13/2023,6/14/2023,58J100
KISHAPVKOSPI200- C,590,75,6/13/2023,6/14/2023,57HAPV
MIRAEJ557KOSPI200- C,165,25,6/13/2023,6/14/2023,52J557
MIRAEJ558KOSPI200- C,240,35,6/13/2023,6/14/2023,52J558
MIRAEJ559KOSPI200- C,320,35,6/13/2023,6/14/2023,52J559
Sukgyung,"61,100",100,6/13/2023,6/14/2023,357550
TERA SCIENCE,"5,870",100,6/13/2023,6/14/2023,73640
Gold&S,"1,742",22,6/12/2023,6/13/2023,35290
HanilFeed,"6,680",50,6/12/2023,6/13/2023,5860
INSAN,"3,480",575,6/12/2023,6/13/2023,277410
INSAN,"3,480",575,6/12/2023,6/13/2023,277410
ISUPETASYS,"22,200","2,680",6/12/2023,6/13/2023,7660
KBJ100KOSPI200- C,115,20,6/12/2023,6/13/2023,58J100
KISHAPVKOSPI200- C,590,75,6/12/2023,6/13/2023,57HAPV
Saltware,"1,730",20,6/12/2023,6/13/2023,328380
TERA SCIENCE,"5,870",100,6/12/2023,6/13/2023,73640
UNISON,"2,250",45,6/12/2023,6/13/2023,18000
DAT,"5,070",30,6/9/2023,6/12/2023,196490
DONGWON METAL,"2,180",249,6/9/2023,6/12/2023,18500
GENIANS,"16,690",520,6/9/2023,6/12/2023,263860
Gold&S,"1,742",22,6/9/2023,6/12/2023,35290
KISHAPVKOSPI200- C,590,75,6/9/2023,6/12/2023,57HAPV
Lutronic,"36,250",50,6/9/2023,6/12/2023,85370
MIRAEJ558KOSPI200- C,240,35,6/9/2023,6/12/2023,52J558
Saltware,"1,730",20,6/9/2023,6/12/2023,328380
Suprema HQ,"7,400",20,6/9/2023,6/12/2023,94840
MIRAEJ558KOSPI200- C,240,35,6/8/2023,6/9/2023,52J558
Polaris Office,"3,275",15,6/8/2023,6/9/2023,41020
SOLUX,"27,650","2,000",6/8/2023,6/9/2023,290690
Bioptro,"8,950",450,6/7/2023,6/8/2023,222160
ISUSPECIALTYCHEMICAL,"420,000",0,6/7/2023,6/8/2023,457190
KBHN72KOSPI200- C,-,-,6/7/2023,6/8/2023,58HN72
KBHN73KOSPI200- C,-,-,6/7/2023,6/8/2023,58HN73
KBHN74KOSPI200- C,-,-,6/7/2023,6/8/2023,58HN74
KISHAPTKOSPI200- C,455,55,6/7/2023,6/8/2023,57HAPT
KISHP67KOSPI200- C,-,-,6/7/2023,6/8/2023,57HP67
MIRAEJ321KOSPI200- C,-,-,6/7/2023,6/8/2023,52J321
MIRAEJ322KOSPI200- C,-,-,6/7/2023,6/8/2023,52J322
Olipass,"1,902",58,6/7/2023,6/8/2023,244460
mplus,"11,720",120,6/7/2023,6/8/2023,259630
AXGATE,"5,770",280,6/5/2023,6/7/2023,356680
DOBU MASK,"1,275",225,6/5/2023,6/7/2023,227420
GRT,"4,900",10,6/5/2023,6/7/2023,900290
Gold&S,"1,742",22,6/5/2023,6/7/2023,35290
JLK,"11,600","1,080",6/5/2023,6/7/2023,322510
JLK,"11,600","1,080",6/5/2023,6/7/2023,322510
KBHN72KOSPI200- C,-,-,6/5/2023,6/7/2023,58HN72
KBHN73KOSPI200- C,-,-,6/5/2023,6/7/2023,58HN73
KISHP66KOSPI200- C,-,-,6/5/2023,6/7/2023,57HP66
KISHZ53SKH- C,-,-,6/5/2023,6/7/2023,57HZ53
MIRAEJ320KOSPI200- C,-,-,6/5/2023,6/7/2023,52J320
MIRAEJ321KOSPI200- C,-,-,6/5/2023,6/7/2023,52J321
MIRAEJ327KOSPI200- C,-,-,6/5/2023,6/7/2023,52J327
MIRAEJ347KOSPI200- P,-,-,6/5/2023,6/7/2023,52J347
MIRAEJ558KOSPI200- C,240,35,6/5/2023,6/7/2023,52J558
SUNGHO,"1,667",7,6/5/2023,6/7/2023,43260
3CTY,"4,000",590,6/2/2023,6/5/2023,52960
Fidelix,"2,225",55,6/2/2023,6/5/2023,32580
Gold&S,"1,742",22,6/2/2023,6/5/2023,35290
JLK,"11,600","1,080",6/2/2023,6/5/2023,322510
KBHN74KOSPI200- C,-,-,6/2/2023,6/5/2023,58HN74
KBHN75KOSPI200- C,-,-,6/2/2023,6/5/2023,58HN75
KISHAPTKOSPI200- C,455,55,6/2/2023,6/5/2023,57HAPT
KISHP66KOSPI200- C,-,-,6/2/2023,6/5/2023,57HP66
MIRAEJ320KOSPI200- C,-,-,6/2/2023,6/5/2023,52J320
MIRAEJ321KOSPI200- C,-,-,6/2/2023,6/5/2023,52J321
MIRAEJ347KOSPI200- P,-,-,6/2/2023,6/5/2023,52J347
Shinhan 7th SPAC,"3,780",5,6/2/2023,6/5/2023,366330
Soosung Salvacion,"1,070",22,6/2/2023,6/5/2023,84180
SurplusGLOBAL,"4,650",10,6/2/2023,6/5/2023,140070
Fidelix,"2,225",55,6/1/2023,6/2/2023,32580
Gold&S,"1,742",22,6/1/2023,6/2/2023,35290
HLB Therapeutics,"5,200",200,6/1/2023,6/2/2023,115450
ISUPETASYS,"22,200","2,680",6/1/2023,6/2/2023,7660
JLK,"11,600","1,080",6/1/2023,6/2/2023,322510
KBHN73KOSPI200- C,-,-,6/1/2023,6/2/2023,58HN73
KBJ091KOSPI200- P,-,-,6/1/2023,6/2/2023,58J091
KBJ092KOSPI200- P,-,-,6/1/2023,6/2/2023,58J092
KISHZ53SKH- C,-,-,6/1/2023,6/2/2023,57HZ53
