Name,Current Price,Change,Disclosure Date,Designation,Release,Code
SINGSONGHOLDINGS,"13,530","1,360",6/15/2023,6/16/2023,-,6880
INSAN,"3,480",575,6/15/2023,6/16/2023,-,277410
ISUSPECIALTYCHEMICAL,"420,000",0,6/8/2023,6/9/2023,6/16/2023,457190
DOBU MASK,"1,275",225,6/7/2023,6/8/2023,-,227420
AXGATE,"5,770",280,6/7/2023,6/8/2023,-,356680
JLK,"11,600","1,080",6/7/2023,6/8/2023,-,322510
LiComm,"3,940",15,5/26/2023,5/30/2023,6/15/2023,388790
SambuConst,"2,925",275,5/24/2023,5/25/2023,6/16/2023,1470
SOLUX,"27,650","2,000",5/17/2023,5/18/2023,6/9/2023,290690
SJMH,"4,870",20,5/16/2023,5/17/2023,6/1/2023,25530
Dgenx,"1,720",100,5/16/2023,5/17/2023,6/1/2023,113810
DSMBIO,"11,800",320,5/15/2023,5/16/2023,5/31/2023,36480
Crystal New Material,"4,085",130,5/12/2023,5/15/2023,5/30/2023,900250
KIM ANKOR OIL,671,19,5/11/2023,5/12/2023,5/26/2023,152550
DuckYangInd,"8,630",80,5/10/2023,5/11/2023,5/25/2023,24900
LiComm,"3,940",15,5/9/2023,5/10/2023,5/24/2023,388790
RFsemi,"22,400",150,5/8/2023,5/9/2023,5/23/2023,96610
EV.A.M.,"8,910",90,5/2/2023,5/3/2023,5/19/2023,131400
KD,829,11,5/2/2023,5/3/2023,5/18/2023,44180
SamwhaElec,"8,720",70,4/27/2023,4/28/2023,5/23/2023,11230
NOUSBO,"2,755",40,4/26/2023,4/27/2023,5/15/2023,332290
Exergy21,"1,450",45,4/24/2023,4/25/2023,5/11/2023,43090
Cosnine,924,4,4/21/2023,4/24/2023,5/10/2023,82660
VitzroSys,682,2,4/20/2023,4/21/2023,5/9/2023,54220
RIFA,"22,650",150,4/20/2023,4/21/2023,5/9/2023,760
SM BEXEL,"2,460",5,4/19/2023,4/20/2023,5/8/2023,10580
NSN,844,54,4/19/2023,4/20/2023,5/8/2023,31860
Zaigle,"18,140",140,4/19/2023,4/20/2023,5/8/2023,234920
GENEMATRIX,"3,860",30,4/18/2023,4/19/2023,5/4/2023,109820
E.T.I,899,0,4/17/2023,4/18/2023,5/8/2023,24810
T-ROBOTICS,"15,780",690,4/17/2023,4/18/2023,5/4/2023,117730
MiCo Bio,"4,690",110,4/17/2023,4/18/2023,5/3/2023,214610
TERA SCIENCE,"5,870",100,4/17/2023,4/18/2023,5/3/2023,73640
POSCO M-TECH,"26,600",400,4/17/2023,4/18/2023,5/3/2023,9520
Setopia,"3,555",10,4/14/2023,4/17/2023,5/4/2023,222810
ORGANIC TEA COSMETICS,186,5,4/13/2023,4/14/2023,4/28/2023,900300
JSCO Holdings,"2,700",120,4/13/2023,4/14/2023,4/28/2023,23440
DB,"2,305",20,4/12/2023,4/13/2023,4/27/2023,12030
Suprema ID,"82,800","6,600",4/11/2023,4/12/2023,5/4/2023,317770
CJ Bioscience,"25,500",200,4/11/2023,4/12/2023,4/26/2023,311690
TCC STEEL,"40,900","1,450",4/11/2023,4/12/2023,4/26/2023,2710
MIRAI,"29,800",600,4/7/2023,4/10/2023,4/24/2023,254490
SERONICS,"47,650","1,150",4/7/2023,4/10/2023,4/24/2023,42600
CosmoAM&T,"215,000","6,000",4/7/2023,4/10/2023,4/24/2023,5070
Gencurix,"3,260",45,4/6/2023,4/7/2023,4/21/2023,229000
Hydro Lithium,"34,900","1,200",4/6/2023,4/7/2023,4/21/2023,101670
KIM ANKOR OIL,671,19,4/5/2023,4/6/2023,4/25/2023,152550
N2TECH,"1,193",8,4/5/2023,4/6/2023,4/21/2023,227950
G Enone Energy,"12,800",270,4/5/2023,4/6/2023,4/21/2023,270520
CANARIABIO,"28,800","1,700",4/5/2023,4/6/2023,4/21/2023,16790
Genesystem,"22,000",0,4/5/2023,4/6/2023,4/20/2023,363250
EV.A.M.,"8,910",90,4/5/2023,4/6/2023,4/14/2023,131400
Dynamic Design,"7,280",0,4/4/2023,4/5/2023,4/25/2023,145210
RFsemi,"22,400",150,4/3/2023,4/4/2023,4/12/2023,96610
JOONGANGDNM,"4,460",120,3/30/2023,3/31/2023,4/20/2023,51980
ENPLUS,"10,970",170,3/30/2023,3/31/2023,4/19/2023,74610
Urban Lithium,"24,900",700,3/29/2023,3/30/2023,4/13/2023,73570
POSCO M-TECH,"26,600",400,3/29/2023,3/30/2023,4/13/2023,9520
EG,"20,250",300,3/28/2023,3/29/2023,4/12/2023,37370
IsuChem,"33,100",150,3/27/2023,3/28/2023,4/13/2023,5950
Kumyang,"60,300",100,3/24/2023,3/27/2023,4/12/2023,1570
KCS,"8,680",380,3/24/2023,3/27/2023,4/10/2023,115500
TOP MATERIAL,"68,100","1,400",3/24/2023,3/27/2023,4/10/2023,360070
NEUROMEKA,"35,500",100,3/23/2023,3/24/2023,4/7/2023,348340
KANGWON ENERGY,"28,000",550,3/22/2023,3/23/2023,4/12/2023,114190
SELVAS Healthcare,"7,180",250,3/22/2023,3/23/2023,4/6/2023,208370
Zaigle,"18,140",140,3/22/2023,3/23/2023,3/30/2023,234920
ASTA,"9,260",400,3/21/2023,3/22/2023,4/11/2023,246720
SamaAlum,"115,600","9,200",3/21/2023,3/22/2023,4/5/2023,6110
Sukgyung,"61,100",100,3/21/2023,3/22/2023,4/5/2023,357550
EMRO,"45,150","2,200",3/17/2023,3/20/2023,4/6/2023,58970
NARASOFT,57,1,3/16/2023,3/17/2023,3/31/2023,288490
Plumbline Life Sciences,"5,190",20,3/9/2023,3/10/2023,3/24/2023,222670
LEMON,"8,050",140,3/8/2023,3/9/2023,3/29/2023,294140
COSMOCHEM,"54,900","1,300",3/8/2023,3/9/2023,3/23/2023,5420
IsuChem,"33,100",150,3/7/2023,3/8/2023,3/23/2023,5950
DPECO,"4,010",0,3/6/2023,3/7/2023,3/22/2023,163430
meerecompany,"36,400",750,3/3/2023,3/6/2023,3/21/2023,49950
SELVAS AI,"20,050",260,2/24/2023,2/27/2023,3/15/2023,108860
Konan Technology,"75,400","3,100",2/24/2023,2/27/2023,3/14/2023,402030
SELVAS Healthcare,"7,180",250,2/23/2023,2/24/2023,3/21/2023,208370
NOVMETAPHARMA,"14,490",140,2/21/2023,2/22/2023,3/9/2023,229500
SUN-MC,"1,400",45,2/16/2023,2/17/2023,3/6/2023,116100
INNOGENE,"3,485",15,2/15/2023,2/16/2023,2/20/2023,344860
VIVOZON PHARMACEUTICAL,806,3,2/9/2023,2/10/2023,2/24/2023,82800
KOR CIRC(2PB),"9,430",140,2/9/2023,2/10/2023,2/24/2023,00781K
OBZEN,"37,250",250,2/8/2023,2/9/2023,2/23/2023,417860
K.M.G(1P),"9,770",30,2/7/2023,2/8/2023,2/23/2023,45014K
PSMC,"5,220",20,2/3/2023,2/6/2023,2/24/2023,24850
Tamul,"10,900",900,2/3/2023,2/6/2023,2/21/2023,93640
GALAXIA SM,"2,450",10,2/2/2023,2/3/2023,2/17/2023,11420
MiraeING,"1,803",4,2/1/2023,2/2/2023,2/16/2023,7120
KTcs,"3,385",20,1/31/2023,2/1/2023,2/16/2023,58850
VAIV company,"9,560",30,1/31/2023,2/1/2023,2/15/2023,301300
SALTLUX,"26,650","1,000",1/30/2023,1/31/2023,2/14/2023,304100
Alchera,"10,840",540,1/30/2023,1/31/2023,2/14/2023,347860
SELVAS AI,"20,050",260,1/27/2023,1/30/2023,2/13/2023,108860
Konan Technology,"75,400","3,100",1/26/2023,1/27/2023,2/17/2023,402030
KIM ANKOR OIL,671,19,1/18/2023,1/19/2023,2/6/2023,152550
SHIN STEEL,"3,970",10,1/2/2023,1/3/2023,1/17/2023,162300
Kumbi,"95,800",200,12/27/2022,12/28/2022,1/12/2023,8870
KIM ANKOR OIL,671,19,12/19/2022,12/20/2022,12/27/2022,152550
OUTIN,"3,185",735,12/16/2022,12/19/2022,1/4/2023,227610
DYD,"1,490",44,12/15/2022,12/16/2022,1/2/2023,219550
Finger Story,"5,340",100,12/15/2022,12/16/2022,1/2/2023,417180
JOONGANGDNM,"4,460",120,12/14/2022,12/15/2022,1/2/2023,51980
SHT-6 SPAC,-,-,12/14/2022,12/15/2022,12/29/2022,344050
CBI,"3,065",705,12/13/2022,12/14/2022,12/28/2022,13720
SCM,"6,600",150,12/6/2022,12/7/2022,12/28/2022,298060
Dongbu(1P),"28,650",550,12/2/2022,12/5/2022,12/19/2022,5965
KolonGlobal(1P),"21,400",400,12/1/2022,12/2/2022,12/16/2022,3075
Dynamic Design,"7,280",0,11/30/2022,12/1/2022,12/15/2022,145210
KYUNGDONG INVEST,"95,300","1,100",11/29/2022,11/30/2022,12/14/2022,12320
In the F,"1,301",143,11/28/2022,11/29/2022,12/13/2022,14990
RMRI,"23,050",950,11/25/2022,11/28/2022,12/12/2022,200350
Picogram,"10,700",110,11/23/2022,11/24/2022,12/8/2022,376180
KH Construction,319,0,11/18/2022,11/21/2022,12/5/2022,226360
STX,"9,290",210,11/17/2022,11/18/2022,12/6/2022,11810
ShinpoongPharm(1P),"28,400",950,11/16/2022,11/17/2022,12/1/2022,19175
G Enone Energy,"12,800",270,11/15/2022,11/16/2022,12/1/2022,270520
DSOL,586,22,11/14/2022,11/15/2022,11/29/2022,96350
Kumyang,"60,300",100,11/9/2022,11/10/2022,11/24/2022,1570
CNT Dream,"3,050",0,11/8/2022,11/9/2022,11/29/2022,286000
HEERIM,"8,910",80,11/7/2022,11/8/2022,11/22/2022,37440
In the F,"1,301",143,11/4/2022,11/7/2022,11/11/2022,14990
WI,"24,900",700,10/25/2022,10/26/2022,11/9/2022,73570
VIETNAM DEVELOP1,-,-,10/25/2022,10/26/2022,11/9/2022,96300
KYUNGDONG INVEST,"95,300","1,100",10/24/2022,10/25/2022,11/16/2022,12320
KSEC,"34,900","1,200",10/19/2022,10/20/2022,11/7/2022,101670
StemLab,"1,323",81,10/19/2022,10/20/2022,11/4/2022,258540
In the F,"1,301",143,10/19/2022,10/20/2022,11/3/2022,14990
IBKS No.12 SPAC,"2,060",30,10/14/2022,10/17/2022,10/31/2022,335870
CODI-M,"5,670",80,10/12/2022,10/13/2022,11/11/2022,224060
CBI,"3,065",705,10/12/2022,10/13/2022,10/27/2022,13720
Dynamic Design,"7,280",0,10/7/2022,10/11/2022,10/28/2022,145210
