Category,Client Name,Trade Name 1,Trade Name 2,Trade Name 3,Trade Name 4
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Lambert Longley,Simon Townend,Diveane Bowe,Juan Lopez & Shaneska Kemp",KPMG,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,EY Services Center Ltd.,,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Sands, Basil L., Munnings, Kendal C., and Wallace, William R.","Pannell, Kerr Forster & Co.",,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Hepburn, Michael M.",,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Mark Munnings, Lawrence Lewis, Steven T. Godet and Talia Sweeting",Deloitte & Touche,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,Chancery Corporate Services Limited,,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Cates, T. Maitland and Ellison J. Delva",Cates & Co.,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Worrell, Keith G.",,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Rahming, Prince; Lundy-Mortimer, Myra",PricewaterhouseCoopers,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Galanis, Philip Christopher",HLB Galanis & Co.,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Hamilton, David Patrick",,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,Paramount Consultants and Agents Limited,,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Barrett, Natishka",,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Turnquest, Peter K.",,,,
ACCOUNTANTS - CHARTERED ACCOUNTANTS,"Visionary Business Consultants, Ltd.",,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,Keys Bahamas Realty Ltd.,,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Rolle, Telisa Gretchen",Pro Office Services,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Sears, Katina",,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Gardiner, La'Verne Harriet",Hey Sis Empowerment & Resource Centre for Women,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Rose, Deidre Patrice",Admin Business and Careerlife,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Dames, Rochelle",Thread Concierge,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"Hall-Glinton, Selina",,,,
ADMINISTRATION AND PERSONAL ASSISTANT SERVICES,"McIntosh, Atyia",,,,
