Broker Names,Broker Filer Code,Address,Phone,Details Page Link
AUTOMATED CUSTOMS EXPERTS GROUP,BZU,"9255 CUSTOMHOUSE PLAZA  SUITES EAST F  SAN DIEGO, CA 92154  United States",+1 619-710-4920,https://www.cbp.gov/about/contact/find-broker-by-port/2506/BZU
BARBARA A GOGIN DBA ACEVES GODIN INTERNATIONAL,BKH,"9255 CUSTOMHOUSE PLAZA  SUITE A 1  SAN DIEGO, CA 92154  United States",+1 619-661-8020,https://www.cbp.gov/about/contact/find-broker-by-port/2506/BKH
BORDER GROUP SERVICES INC DBA EFR CUSTOMHOUSE BROKERS,'9L9,"9543 HEINRICH HERTZ DRIVE  SUITE 7  SAN DIEGO, CA 92154  United States",+1 619-710-2504,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9L9
BRUNO CALLU DBA CALLU CUSTOMS BROKERAGE,BHK,"8640 SIEMPRE VIVA ROAD  SUITE 201  SAN DIEGO, CA 92154  United States",+1 619-937-9717,https://www.cbp.gov/about/contact/find-broker-by-port/2506/BHK
CAMACHO BROKERS INC,N55,"9770 VIA DE LA AMISTAD  SAN DIEGO, CA 92154  United States",+1 619-661-6311,https://www.cbp.gov/about/contact/find-broker-by-port/2506/N55
CARIME DUCK DBA CUSTOMS INTERNATIONAL DUCK,'9GB,"8684 AVENIDA DE LA FUENTE  SUITE 9 10  SAN DIEGO, CA 92154  United States",+1 619-271-3659,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9GB
CASAS INTERNATIONAL,'853,"9355 AIRWAY ROAD  SUITE 4  SAN DIEGO, CA 92154  United States",+1 619-661-6162,https://www.cbp.gov/about/contact/find-broker-by-port/2506/853
DGS CUSTOM HOUSE BROKER INC,DGS,"2310 OTAY CENTER DRIVE  SUITE 3  SAN DIEGO, CA 92154  United States",+1 619-710-0052,https://www.cbp.gov/about/contact/find-broker-by-port/2506/DGS
ENCISO & ASSOCIATES CUSTOMS BROKER,U84,"9925 VIADUCT DE LA AMISTAD  SAN DIEGO, CA 92154  United States",+1 619-661-6145,https://www.cbp.gov/about/contact/find-broker-by-port/2506/U84
ESTHER QUEZADA DBA PRIORITY CARGO EXPEDITORS,WPB,"2215 PASEO DE LAS AMERICANS  SUITE 31  SAN DIEGO, CA 92154  United States",+1 619-710-1618,https://www.cbp.gov/about/contact/find-broker-by-port/2506/WPB
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,'231,"1470 EXPOSITION WAY  SUITE 110  SAN DIEGO, CA 92154  United States",+1 619-710-1900,https://www.cbp.gov/about/contact/find-broker-by-port/2506/231
EXPORTALIA CUSTOMS BROKERS LLC,'9AF,"2290 ENRICO FERMI DRIVE  SUITE 22  SAN DIEGO, CA 92154  United States",+1 619-671-0932,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9AF
FEDEX TRADE NETWORKS TRANSPORT & BROKERAGE INC,'799,"8409 KERNS  SUITE 100  SAN DIEGO, CA 92154  United States",+1 619-671-2121,https://www.cbp.gov/about/contact/find-broker-by-port/2506/799
FERRER BROKERS INC,H87,"9840 VIADUCT DE LA AMISTAD  SAN DIEGO, CA 92154  United States",+1 619-661-6755,https://www.cbp.gov/about/contact/find-broker-by-port/2506/H87
FRANCISCO GONZALEZ DBA G-BROKER,'8WS,"9255 CUSTOMHOUSE PLZ  PLAZA N  SAN DIEGO, CA 92154  United States",+1 619-513-5109,https://www.cbp.gov/about/contact/find-broker-by-port/2506/8WS
GLOBE TRADE SERVICES INC,'9UG,"2275 MICHAEL FARADAY DRIVE  SUITE 8  SAN DIEGO, CA 92154  United States",+1 619-671-9362,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9UG
GREITZER BROKERS INC SD,'711,"2290 ENRICO FERMI DRIVE  SUITE 19  SAN DIEGO, CA 92154  United States",+1 619-661-6010,https://www.cbp.gov/about/contact/find-broker-by-port/2506/711
HELLMANN WORLDWIDE LOGISTICS INC,MC2,"9565 HEINRICH HERTZ DRIVE  SUITE 7  SAN DIEGO, CA 92154  United States",+1 619-210-1042,https://www.cbp.gov/about/contact/find-broker-by-port/2506/MC2
HUTCHINSON BROKERS CO INC,CBV,"2290 ENRICO FERMIN DRIVE  SUITE 18  SAN DIEGO, CA 92154  United States",+1 619-661-6567,https://www.cbp.gov/about/contact/find-broker-by-port/2506/CBV
IMPORT EXPORT LOGISTICS INC,'8P2,"1590 CONTINENTAL STREET  UNIT 203  SAN DIEGO, CA 92154  United States",+1 619-576-3660,https://www.cbp.gov/about/contact/find-broker-by-port/2506/8P2
INTERNATIONAL AUTOMATED BROKER,G01,"1655 SAINT ANDREWS COVE  SAN DIEGO, CA 92154  United States",+1 619-661-6464,https://www.cbp.gov/about/contact/find-broker-by-port/2506/G01
JAMCO INTERNATIONAL INC,WC1,"9543 HEINRICH HERTZ DRIVE  SUITE 1  SAN DIEGO, CA 92154  United States",+1 619-661-1301,https://www.cbp.gov/about/contact/find-broker-by-port/2506/WC1
JD GROUP US CUSTOMS BROKER,BIM,"1659 GAILES BOULEVARD  SUITE 1218  SAN DIEGO, CA 92154  United States",+1 619-661-5525,https://www.cbp.gov/about/contact/find-broker-by-port/2506/BIM
JESUS E ESCOBAR DBA R&E CUSTOMS BROKERS,KK8,"9765 MARCONI DRIVE  SUITE 200N  SAN DIEGO, CA 92154  United States",+1 619-710-0138,https://www.cbp.gov/about/contact/find-broker-by-port/2506/KK8
JK SOLUTIONPRO LLC,'8X8,"9187 CLAIREMONT MESA BLVD  SUITE 6-589  SAN DIEGO, CA 92123  United States",+1 626-218-2617,https://www.cbp.gov/about/contact/find-broker-by-port/2506/8X8
JORGE VALENCIA DBA JV BROKERS,BRQ,"9923 VIADUCT DE LA AMISTAD  SUITE 101  SAN DIEGO, CA 92154  United States",+1 619-710-1891,https://www.cbp.gov/about/contact/find-broker-by-port/2506/BRQ
KUEHNE & NAGEL INC,'101,"2660 SARNEN STREET  SUITE 100  SAN DIEGO, CA 92154  United States",+1 619-661-6944,https://www.cbp.gov/about/contact/find-broker-by-port/2506/101
LILIA SERRANO DBA INTERNATIONAL CARGO LOGISTICS,NU5,"9295 SIEMPRE VIVA ROAD  SUITE F  SAN DIEGO, CA 92154  United States",+1 619-661-2121,https://www.cbp.gov/about/contact/find-broker-by-port/2506/NU5
LOGIAIDE INC,B3R,"8662 SIEMPRE VIVA ROAD  2ND FLOOR  SAN DIEGO, CA 92154  United States",+1 619-779-7151,https://www.cbp.gov/about/contact/find-broker-by-port/2506/B3R
M BORDER SOLUTIONS INC,'9VP,"9051 SIEMPRE VIVA ROAD  SUITE K2  SAN DIEGO, CA 92154  United States",+1 619-671-9661,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9VP
MANUEL RODRIGUEZ DBA INTERNATIONAL CUSTOMS BROKER,D01,"2215 PASEO DE LAS AMERICA  SUITE 25  SAN DIEGO, CA 92154  United States",+1 619-671-0522,https://www.cbp.gov/about/contact/find-broker-by-port/2506/D01
MARCO ALVAREZ DBA GLOBAL ALLY CUSTOMS BROKERS,'93Q,"2350 MARCONI PLACE  SUITE 102  SAN DIEGO, CA 92154  United States",+1 619-651-7487,https://www.cbp.gov/about/contact/find-broker-by-port/2506/93Q
MARCO CONTRERAS DBA RANCHO CUSTOMS BROKERS,'9QW,"9731 SIEMPRE VIVA ROAD  SUITE 106  SAN DIEGO, CA 92154  United States",+1 619-600-4689,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9QW
MARCO MURILLO JOFFROY,'9FY,"2475 PASEO DE LAS AMERICAS  SUITE 1077  SAN DIEGO, CA 92154  United States",+1 619-946-4233,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9FY
MARTINE URUETA JR DBA GLOBAL BROKERAGE SOLUTIONS,'9UN,"2285 MICHAEL FARADAY DRIVE  SUITE 8  SAN DIEGO, CA 92154  United States",+1 619-690-7400,https://www.cbp.gov/about/contact/find-broker-by-port/2506/9UN
MIRAMAR CUSTOMS BROKERS INC,AEG,"7920 AIRWAY ROAD  SUITE A 4  SAN DIEGO, CA 92154  United States",+1 619-710-1958,https://www.cbp.gov/about/contact/find-broker-by-port/2506/AEG
NORMAN KRIEGER INC,'175,"9654 SIEMPRE VIVA ROAD  SUITE 5  SAN DIEGO, CA 92154  United States",+1 619-205-5185,https://www.cbp.gov/about/contact/find-broker-by-port/2506/175
PANALPINA INC,'554,"1425 CORPORATE CENTER DRIVE  SUITE 900  SAN DIEGO, CA 92154  United States",+1 619-671-2010,https://www.cbp.gov/about/contact/find-broker-by-port/2506/554
PANASONIC LOGISTICS SOLUTIONS OF AMERICA INC,WG1,"9850 SIEMPRE VIVA ROAD  SUITE 3  SAN DIEGO, CA 92154  United States",+1 619-661-6995,https://www.cbp.gov/about/contact/find-broker-by-port/2506/WG1
