Name of Entity,SEZ Status,Town/City,Parish
76 RHR Business Centre Limited,Multi-Occupancy Developer,Kingston,St. Andrew
BTP Lot 2,Multi-Occupancy Developer,Montego Bay,St. James
BTP Lot 3,Multi-Occupancy Developer,Montego Bay,St. James
BTP Lot 8,Multi-Occupancy Developer,Montego Bay,St. James
BTP Lot 9,Multi-Occupancy Developer,Montego Bay,St. James
Cathexis Limited (Kingston),Multi-Occupancy Developer,Kingston,St. Andrew
Cathexis Limited (MB),Multi-Occupancy Developer,Montego Bay,St. James
Cazoumar Investments Limited,Multi-Occupancy Developer,Montego Bay,St. James
Cimpress Jamaica Limited (Vista Print),Developer (Single-Entity),Montego Bay,St. James
Chalmers Commercial Limited,Multi-Occupancy Developer,Kingston,Kingston
CRL SEZ,Multi-Occupancy Developer,Montego Bay,St. James
Fusion BPO Services Limited,Developer (Single-Entity),Kingston,Kingston
Happy Sandy Bay,Multi-Occupancy Developer,Tryall,Hanover
Gulfray America’s Manufacturing Limited,Multi Occupany Developer,Spanish Town,St. Catherine
International Business Spaces Limited,Multi-Occupancy Developer,Kingston,St. Andrew
Jamaica International Free Zone Development Ltd.,Multi-Occupancy Developer,Kingston,St. Andrew
Kingston Free Zone,Multi-Occupancy Developer,Kingston,St. Andrew
Kingston Wharves Limited,Multi-Occupancy Developer,Kingston,Kingston
Mercury Wireless 1203,Multi-Occupancy Developer,Montego Bay,St. James
Mercury Wireless 1211,Multi-Occupancy Developer,Montego Bay,St. James
Mercury Wireless Limited,Multi-Occupancy Developer,Montego Bay,St. James
Montego Bay Technology Park and Free Zone,Multi-Occupancy Developer,Montego Bay,St. James
MJS Industrial Park Limited,Multi-Occupancy Developer,Kingston,Kingston
Portmore Holdings,Multi-Occupancy Developer,Portmore,St. Catherine
Portmore Informatics Park,Multi-Occupancy Developer,Portmore,St. Catherine
Stanley Motta (Jamaica Agents Services Ltd.),Multi-Occupancy Developer,Kingston,St. Andrew
Tritel Services Limited,Multi-Occupancy Developer,Kingston,St. Andrew
Welkins Investments Limited,Multi-Occupancy Developer,Kingston,St. Andrew
Western Terminals Limited,Multi-Occupancy Developer,Kingston,Kingston
Western Terminals Limited (Expansion),Multi-Occupancy Developer,Kingston,Kingston
Wheelersfield Development Limited,Multi-Occupancy Developer,Kingston,Kingston
Williams Offices Limited,Developer (Single-Entity),Kingston,Kingston
ADV Communications Jamaica Ltd (Dominica Drive),Developer (Single-Entity),Kingston,St. Andrew
ADV Communications Jamaica Ltd (Dominica Drive),Developer (Single-Entity),Kingston,St. Andrew
ADV Communications Jamaica (7-9 Habour Street),Developer (Single-Entity),Kingston,Kingston
All American Institute of Medical Sciences Limited,Developer (Single-Entity),Black River,St. Elizabeth
Associated Manufacturers Ltd,Developer (Single-Entity),Walkerswood,St. Ann
Automania International Limited,Developer (Single-Entity),Kingston,Kingston
B&D Trawling Limited,Developer (Single-Entity),Kingston,St. Andrew
Bashco Trading International,Developer (Single-Entity),Kingston,St. Andrew
Betaine Jamaica Limited (113),Developer (Single-Entity),Kingston,Kingston
Betaine Jamaica Limited (118),Developer (Single-Entity),Kingston,Kingston
Betaine Jamaica Limited (Saxthorpe),Developer (Single-Entity),Kingston,Kingston
Betaine Jamaica Limited (Worthington),Developer (Single-Entity),Kingston,Kingston
Canco Holdings Ltd,Developer (Single-Entity),Kingston,St. Andrew
Caribbean Producers Homeporting Limited,Developer (Single-Entity),Montego Bay,St. James
Concentrix/CNX,Developer (Single-Entity),Kingston,Kingston
Conduent (Portmore),Developer (Single-Entity),Portmore,St. Catherine
Conduent (RKA Bldg),Developer (Single-Entity),Kingston,St. Andrew
Elephant Group (Trinidad Terrace),Developer (Single-Entity),Kingston,Kingston
Henkas Group,Multi-Occupancy Developer,Kingston,St. Andrew
"IBEX Global Jamaica Limited (Lot 3A, 8&( Portmore Pines Plaza)",Developer (Single-Entity),Portmore,St. Catherine
Ibex Global (New Kingston),Developer (Single-Entity),Kingston,St. Andrew
Ibex Global Jamaica Ltd. (Draxhall),Developer (Single-Entity),Drax Hall,St. Ann
Ibex Global Jamaica Ltd. (Digicel),Developer (Single-Entity),Kingston,Kingston
Ibex Global Jamaica Ltd (Portmore Pines),Developer (Single-Entity),Portmore,St. Catherine
Island Outsourcers (ITel BPO),Developer (Single-Entity),Kingston,St. Andrew
Island Outsourcers (ITel BPO),Developer (Single-Entity),Kingston,St. Andrew
Jamaica Red Moon Limited,Developer (Single-Entity),Kingston,St. Andrew
KCT Services Limited,Multi-Occupancy Developer,Kingston,Kingston
Kingston Freeport Terminal Limited,Developer (Single-Entity),Kingston,Kingston
Kingston Wharves Limited,Developer (Single-Entity),Kingston,Kingston
