Company Name,Member Since
,2016
A.T.A Consultants Ltd (licence excludes statutory audit),2020
A1A Corporate Services Ltd,2014
AAA Consulting Services Ltd (licence excludes statutory audit),2021
AAA Global Services Ltd (licence excludes statutory audit),2021
Aarmando Group Ltd(Licence excludes audit),2018
ABHASA LIMITED (Licence Excludes Statutory Audit),2016
ACC-TAX SOLUTIONS LIMITED,2016
Accounting & Consulting Group Ltd(Licence excludes statutory audit),2019
Accusolve Accounting & Tax Services Ltd,2016
AEJAZ NAZIR ASSOCIATES & CO,2011
Affinity Consultants Ltd,2009
Alliott (Mauritius),2007
AMG Global (Formerly Nooredin Mohit & Co),2016
Andersen (Mauritius) Ltd (Formerly Atax Advisors Limited) (Licence excludes statutory audit),2016
Andrew Alexander ,2008
Andrew Alexander Ltd,2007
Anex Consultancy Services Ltd,2009
ANEX MANAGEMENT SERVICES LTD,2008
ANEXA BIZ LTD(Formerly ACN Associates Ltd) (Licence excludes statutory audit),2013
APEX FUND SERVICES (MAURITIUS) Ltd,2013
Applegate & Dunshire Co Ltd(Licence excludes statutory audit),2018
Aronson Associates Co Ltd (Licence excludes Statutory Audit),2020
AROSS BUSINESS ACCOUNTANTS LTD (License excludes statutory audit),2022
ATHOR & CO,2010
Auditax Associates LLP,2017
Axcilia Ltd (License exclude statutory audit),2022
Azeus Associates Ltd(Licence excludes statutory audit),2017
Bacha and Bacha ,2007
Baker Tilly,2023
Baker Tilly Solution Ltd (License excludes statutory audit),2023
Barnes Associates,2018
BDO FINANCIAL SERVICES LTD,2011
BDO LLP,2023
BDO Solutions Ltd(Licence excludes statutory audit),2018
BIA CONSULTANTS LTD (licence excludes statutory audit),2021
BIT Associates ,2010
Bridgeshores Corporate Services Ltd(Licence excludes statutory audit),2018
Business Alliance Ltd(Formerly Gavineellen & Co Ltd) (Licence excludes statutory audit),2017
BUSINESS ALLIANCE PARTNERS(Formerly Gavineellen Partners),2017
Business Care Ltd (Licence excludes statutory audit) (formerly Acctiv Professional Consulting Ltd) ,2013
Business Financial Services,2007
Business Information Technology Consulting Ltd (Licence excludes statutory audit),2019
Business Management Consultancy Ltd,2013
Business-Assist Accountants Ltd(Licence excludes statutory audit),2020
CAPITAL ASSET MANAGEMENT LTD (Licence excludes statutory audit and limited to related parties),2021
Cays LLP (Formerly Cays Associates),2016
Chartist Associates,2008
Chartist Consultant,2012
Chartist Tax Consultant Ltd (Licence excludes statutory audit),2021
CHEXSYS CONSULTING LTD (License excludes statutory audit),2022
CHOKSHI & CHOKSHI LLP (Licence limited to the audit of FSC),2019
Clark Robbins & Associates Ltd,2016
CLARKSON & ASSOCIATES,2010
Comprehensive Financial Services,2007
Creliance Accountants LLP,2020
Crowe ATA(Formerly Crowe Horwath ATA),2012
DAABS Accounting Solutions Ltd(licence excludes statutory audit),2019
DATA PRO ACCOUNTING LTD (Licence excludes statutory audit),2020
DBI Consulting Ltd (Licence excludes statutory audit),2019
De Chazal & Associates,2007
Deloitte ,2007
Delta Consultants ,2007
Desston,2009
DGM Partners,2007
DGT Associates,2007
Dhanjee & Associates(Formerly Dhanjee Associates & CIE),2008
DHS SOLUTIONS LTD (Licence excludes statutory audit),2022
DM Business Solutions Ltd (Licence excludes statutory audit),2019
DTOS Ltd(Licence excludes statutory audit),2018
EC ASSOCIATES,2016
ECOVIS (MAURITIUS) (Formerly DUNCAN MORRIS),2021
Epiconsult (Mauritius) Ltd (licence excludes statutory audit),2021
Ernst & Young ,2007
Executive Accounting Ltd,2014
FERGUSON YOUNG,2011
Finspect Consulting Ltd (Licence excludes statutory audit),2019
FINSPECT LLP,2019
FISCOM Services Limited (licence excludes statutory audit),2022
Fortenberry Corporate Services Ltd(Licence excludes statutory audit),2018
Fortree Management Services Limited (licence excludes statutory audit),2021
GAAP SOLUTIONS Ltd,2013
GD RICHES,2012
GH & PARTNERS,2018
Global Accounting Services Ltd,2016
GN Associates LTD,2008
Grant Thornton,2007
Grant Thornton (Advisory Services) Ltd,2014
Gwent Associates,2007
H&A Associates,2008
Hazlewoods - Li Consultants Ltd(Licence excludes to statutory audit),2016
HLB ACCOUNTANCY PRACTICE (MAURITIUS) LTD (licence excludes Statutory audit),2022
HLB Appavoo & Associates,2007
Infinitas Cliens Focus Accounting Services Limited,2023
Integri Consult Incorporation Limited(Licence excludes statutory audit),2020
Intercontinental Fund Services Limited(Licence excludes statutory audit),2018
INTERCONTINENTAL TRUST,2012
JAR & ASSOCIATES,2007
JAUFFUR ASSOCIATES,2008
JAYPAL DABEE,2018
JB & ASSOCIATES LTD (License excludes statutory audit),2023
JGK Associates,2014
JurisTax Services Ltd (Licence excludes Statuory audit),2023
Kanhiya Associates,2016
KEMP CHATTERIS,2012
Kingston Marks,2020
KPMG,2007
KPMG Advisory Services Ltd (Licence excludes statutory audit),2022
KPMG Tax Services Limited (licence restricted to taxation only),2022
KRESTON TSS(Formerly First Island & Associates),2015
KROSS BORDER BUSINESS SOLUTIONS LIMITED,2015
Lamusse Sek Sum & Co,2007
Lancasters Chartered Accountants,2007
LEKRAM & ASSOCIATES LTD (License excludes statutory audit),2023
LEXFIN LIMITED (License excludes statutory audit),2022
LOGIKA PARTNERS LIMITED,2013
Lohur & Co Ltd,2014
LUTCHUMUN & ASSOCIATES,2022
M&C Chartered Certified Accountants,2007
MAB&Co,2007
MABCO,2013
Masterson Associates Ltd,2013
MAZARS CORPORATE SERVICES LIMITED (license excludes statutory audit),2022
MAZARS LLP,2022
Mc Millan Woods,2009
Mc Millan Woods Accounting Services Ltd (licence excludes statutory audit),2021
MG Seebaluck Partners,2014
MILTON BERG BUSINESS SOLUTIONS LTD,2012
