Title,Links Document
"Summary of the Competition Council Plenum Decision No. APD-38/18-09 of 07.04.2023",https://competition.md/decizieview.php?l=en&idc=64&id=7765&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-APD-3818-09-of-07042023
"Competition Council Plenum Decision No. APD–48/19-07 of March 02, 2023",https://competition.md/decizieview.php?l=en&idc=64&id=7740&t=/Transparency/Decisions/Competition-Council-Plenum-Decision-No-APD4819-07-of-March-02-2023
Summary of the Competition Council Plenum Decision no. ASS-47 as of 30.06.2022,https://competition.md/decizieview.php?l=en&idc=64&id=7516&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASS-47-as-of-30062022
Summary of the Competition Council Plenum Decision  no. CN - 15/20-37 as of 09.06.2022,https://competition.md/decizieview.php?l=en&idc=64&id=7513&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CN-1520-37-as-of-09062022
The Competition Council Plenum Decision no. APD-04/20-02 as of 28.01.2022,https://competition.md/decizieview.php?l=en&idc=64&id=7366&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-no-APD-0420-02-as-of-28012022
Decision of the Plenum of the Competition Council no. ASS-66 of 25.11.2021,https://competition.md/decizieview.php?l=en&idc=64&id=7318&t=/Transparency/Decisions/Decision-of-the-Plenum-of-the-Competition-Council-no-ASS-66-of-25112021
Decision of the Competition Council's Plenum No. ASS - 44 as of 19.08.2021,https://competition.md/decizieview.php?l=en&idc=64&id=7239&t=/Transparency/Decisions/Decision-of-the-Competition-Councils-Plenum-No-ASS-44-as-of-19082021
Summary of the Competition Council Plenum Decision no. ASS-13 as of 16.04.2021,https://competition.md/decizieview.php?l=en&idc=64&id=7178&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-ASS-13-as-of-16042021
Summary of the Competition Council Decizion no. 12/18-11 as of 16.04.2021,https://competition.md/decizieview.php?l=en&idc=64&id=7172&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Decizion-no-1218-11-as-of-16042021
The Competition Council Plenum Decision no ASO-08 as of 15.03.2021,https://competition.md/decizieview.php?l=en&idc=64&id=7156&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-no-ASO-08-as-of-15032021
Summary of The Competition Council Decision no. 43 as of 09.09.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6949&t=/Transparency/Decisions/Summary-of-The-Competition-Council-Decision-no-43-as-of-09092020
Summary of the Competition Council Plenum Decision no. 42 as of 06.08.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6948&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-42-as-of-06082020
The Competition Council Plenum Decision No. APD - 9/16 - 34 as of 16.07.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6935&t=/Transparency/Decisions/The-Competition-Council-Plenum-Decision-No-APD-916-34-as-of-16072020
"Summary of the Competition Council Plenum Decision no. APD – 17/17-35 din 16.07.2020",https://competition.md/decizieview.php?l=en&idc=64&id=6931&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-APD-1717-35-din-16072020
Summary of the Competition Council Plenum Decision No. ASS - 32 as of 09.07.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6923&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASS-32-as-of-09072020
Summary of the Competition Council Plenum Decision No. ASS - 27 as of 03.07.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6922&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASS-27-as-of-03072020
Summary of the Competition Council Plenum Decision No. ASS - 26 as of 03.07.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6921&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-No-ASS-26-as-of-03072020
Summary of the Competition Council Plenum Decision's no. ASS-24 of 04.06.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6915&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decisions-no-ASS-24-of-04062020
Summary of the Competition Council Plenum Decision's no. ASS-23 as of 04.06.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6914&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decisions-no-ASS-23-as-of-04062020
Decision of the Competition Council Plenum Nr. ASO - 13 as of 06.04.2020 ,https://competition.md/decizieview.php?l=en&idc=64&id=6887&t=/Transparency/Decisions/Decision-of-the-Competition-Council-Plenum-Nr-ASO-13-as-of-06042020
Summary of the Plenum of the Competition Council Decision  no. ASS-15 of 29.04.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6884&t=/Transparency/Decisions/Summary-of-the-Plenum-of-the-Competition-Council-Decision-no-ASS-15-of-29042020
"Summary of the Competition Council Plenum Decision no. APD – 22/15-04 din 18.02.2020",https://competition.md/decizieview.php?l=en&idc=64&id=6878&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-APD-2215-04-din-18022020
Summary of the Competition Council Plenum Decision no. CN-16/19-07 as of 25.02.2020,https://competition.md/decizieview.php?l=en&idc=64&id=6870&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CN-1619-07-as-of-25022020
Summary of the Competition Council Plenum Decision no. CN-36/18-91  as of 12.12.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6799&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CN-3618-91-as-of-12122019
Summary of the Competition Council Plenum Decision no. CN-48/18-74 as of 31.10.2019,https://competition.md/decizieview.php?l=en&idc=64&id=6749&t=/Transparency/Decisions/Summary-of-the-Competition-Council-Plenum-Decision-no-CN-4818-74-as-of-31102019
