Name,Link Page,Date Information
The deadlines for the disposal of shares of B.C. “ENERGBANK” S.A. and “Banca de Finanțe și Comerț” have been extended,https://www.bnm.md/en/content/deadlines-disposal-shares-bc-energbank-sa-and-banca-de-finante-si-comert-have-been-extended,09.04.2019
"The National Bank approved two members of the Council of BC ""Moldindconbank"" S.A.",https://www.bnm.md/en/content/national-bank-approved-two-members-council-bc-moldindconbank-sa,27.04.2020
National Bank lifted the early intervention regime at BC ”Moldindconbank” S.A.,https://www.bnm.md/en/content/national-bank-lifted-early-intervention-regime-bc-moldindconbank-sa,11.02.2020
The National Bank of Moldova (NBM) approved five members of the Council of BC „Moldindconbank” SA,https://www.bnm.md/en/content/national-bank-moldova-nbm-approved-five-members-council-bc-moldindconbank-sa,02.12.2019
The mandates of BC „Moldindconbank” S.A. temporary administrators have been extended,https://www.bnm.md/en/content/mandates-bc-moldindconbank-sa-temporary-administrators-have-been-extended,24.10.2019
The mandates of the temporary administrators of BC “Moldindconbank” S.A. have been extended,https://www.bnm.md/en/content/mandates-temporary-administrators-bc-moldindconbank-sa-have-been-extended-2,19.04.2019
"An European investor, who comes up with a team of experienced bankers, received the NBM prior permission to acquire the shares of BC „Moldindconbank” S.A. in the amount of 63,89 percent",https://www.bnm.md/en/content/european-investor-who-comes-team-experienced-bankers-received-nbm-prior-permission-acquire,22.01.2019
"Deadline for the sale of the newly issued shares of the BC ""Moldindconbank"" S.A. has been extended",https://www.bnm.md/en/content/deadline-sale-newly-issued-shares-bc-moldindconbank-sa-has-been-extended-0,18.01.2019
The mandates of the temporary administrators of BC “Moldindconbank” S.A. have been extended,https://www.bnm.md/en/content/mandates-temporary-administrators-bc-moldindconbank-sa-have-been-extended-1,19.10.2018
"Deadline for the sale of the newly issued shares of the BC ""Moldindconbank"" S.A. has been extended",https://www.bnm.md/en/content/deadline-sale-newly-issued-shares-bc-moldindconbank-sa-has-been-extended,16.10.2018
"Deadlines for the sale of the newly issued shares and mandates of the temporary administrators of BC ""Moldindconbank"" S.A. have been extended",https://www.bnm.md/en/content/deadlines-sale-newly-issued-shares-and-mandates-temporary-administrators-bc-moldindconbank,16.07.2018
The mandates of the temporary administrators of BC “Moldindconbank” S.A. have been extended,https://www.bnm.md/en/content/mandates-temporary-administrators-bc-moldindconbank-sa-have-been-extended-0,23.10.2017
The National Bank of Moldova applied sanctions to former shareholders of B.C. „Moldindconbank” S.A.,https://www.bnm.md/en/content/national-bank-moldova-applied-sanctions-former-shareholders-bc-moldindconbank-sa,28.04.2017
The mandates of the temporary administrators of BC „Moldindconbank” S.A. have been extended,https://www.bnm.md/en/content/mandates-temporary-administrators-bc-moldindconbank-sa-have-been-extended,21.04.2017
"BC ""Moldindconbank"" S.A. management during early intervention regime was approved",https://www.bnm.md/en/content/bc-moldindconbank-sa-management-during-early-intervention-regime-was-approved,22.10.2016
"National Bank of Moldova blocked a group of shareholders of BC ""Moldindconbank"" S.A. acting in concert",https://www.bnm.md/en/content/national-bank-moldova-blocked-group-shareholders-bc-moldindconbank-sa-acting-concert,20.10.2016
NBM has blocked a group of shareholders of BC „Moldova-Agroindbank” S.A. and has withdrawn the confirmation of two administrators of BC „Moldindconbank” S.A.,https://www.bnm.md/en/content/nbm-has-blocked-group-shareholders-bc-moldova-agroindbank-sa-and-has-withdrawn-confirmation,03.03.2016
