Title Link,Title Summary / Content,Newspaper No,Page No,Date of publication,Content,Links Document,View the journal in PDF format
Journal n°8447du 16 août 2019,Ordonnance Souveraine n° 7.647 du 31 juillet 2019 portant licenciement d'un fonctionnaire.,8447,,16/08/2019,"ALBERT IIPAR LA GRÂCE DE DIEUPRINCE SOUVERAIN DE MONACOVu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'État, modifiée ;Vu l'Ordonnance Souveraine n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;Vu Notre Ordonnance n° 4.842 du 6 juin 2014 portant nomination et titularisation d'un Contrôleur des constructions à la Direction de la Prospective, de l'Urbanisme et de la Mobilité ;Vu l'avis favorable formulé par la Commission Paritaire de la catégorie B, le 22 juillet 2019 ;Vu la délibération du Conseil de Gouvernement en date du 31 juillet 2019 qui Nous a été communiquée par Notre Ministre d'État ;Avons Ordonné et Ordonnons :M. Sébastien Guerre, Contrôleur des constructions à la Direction de la Prospective, de l'Urbanisme et de la Mobilité, en position de disponibilité, pour convenances personnelles, depuis le 7 janvier 2017, est licencié avec effet du 7 janvier 2019.Notre Secrétaire d'État, Notre Directeur des Services Judiciaires et Notre Ministre d'État sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance.Donné en Notre Palais à Monaco, le trente-et-un juillet deux mille dix-neuf.ALBERTPar le Prince,P/ Le Secrétaire d'État :Le Président du Conseil d'État :L. ANSELMI.",https://journaldemonaco.gouv.mc/Journaux/2019/Journal-8447/Ordonnance-Souveraine-n-7.647-du-31-juillet-2019-portant-licenciement-d-un-fonctionnaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/690df1702974032a94a9af833e7e36ed.pdf
Journal n°8446du 9 août 2019,Arrêté Ministériel n° 2019-655 du 29 juillet 2019 portant licenciement d'un Agent de Police stagiaire.,8446,,09/08/2019,"Nous, Ministre d'État de la Principauté,Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'État, modifiée, notamment son article 22 ;Vu l'Ordonnance Souveraine n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;Vu l'arrêté ministériel n° 2018-587 du 21 juin 2018 portant nomination d'un Agent de Police stagiaire à la Direction de la Sûreté Publique ;Vu la lettre recommandée portant convocation de l'Agent de police stagiaire préalable à une éventuelle mesure de licenciement ;Vu le compte rendu de l'entretien en date du 19 juillet 2019 ;Vu la délibération du Conseil de Gouvernement en date du 24 juillet 2019 ;Considérant que le comportement persistant de M. Tony De Sousa que mentionne la lettre de convocation, malgré les nombreux rappels à l'ordre de sa hiérarchie dont il a fait l'objet, démontre une absence d'assimilation des règles déontologiques propres à la fonction policière ;Considérant qu'en conséquence, l'intéressé n'a pas rempli de manière satisfaisante les conditions d'aptitude requises, ce qui s'avère incompatible avec son maintien en fonction au sein de la Direction de la Sûreté Publique ;Arrêtons :Article Premier.M. Tony De Sousa, Agent de Police stagiaire à la Direction de la Sûreté Publique, est licencié après respect d'un préavis d'un mois, soit à compter du 4 septembre 2019.Art. 2.Le Secrétaire Général du Gouvernement et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l'exécution du présent arrêté.Fait à Monaco, en l'Hôtel du Gouvernement, le vingt-neuf juillet deux mille dix-neuf.Le Ministre d'État,S. TELLE.",https://journaldemonaco.gouv.mc/Journaux/2019/Journal-8446/Arrete-Ministeriel-n-2019-655-du-29-juillet-2019-portant-licenciement-d-un-Agent-de-Police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/a06efc272763712a85f1ef39e9c92aca.pdf
Journal n°8375du 30 mars 2018,Ordonnance Souveraine n° 6.845 du 12 mars 2018 mettant fin aux fonctions d'un Inspecteur au Service de Contrôle des Jeux.,8375,,30/03/2018,"ALBERT IIPAR LA GRÂCE DE DIEUPRINCE SOUVERAIN DE MONACOVu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l'État, modifiée ;Vu la loi n° 1.103 du 12 juin 1987 relative aux jeux de hasard ;Vu l'Ordonnance Souveraine n° 6.365 du 17 août 1978 fixant les conditions d'application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée;Vu l'Ordonnance Souveraine n° 9.100 du 9 février 1988 portant organisation du Service de Contrôle des Jeux ;Vu Notre Ordonnance n° 2.021 du 19 décembre 2008 rendant exécutoire la Convention destinée à adapter et à approfondir la coopération administrative entre la République française et la Principauté de Monaco, signée à Paris le 8 novembre 2005 ;Vu l'Ordonnance Souveraine n° 14.627 du 18 octobre 2000 portant nomination d'un Inspecteur au Service de Contrôle des Jeux ;Vu Notre Ordonnance n° 521 du 19 mai 2006 portant renouvellement du détachement d'un Inspecteur au Service de Contrôle des Jeux ;Vu la délibération du Conseil de Gouvernement en date du 28 novembre 2017 qui Nous a été communiquée par Notre Ministre d'État ;Avons Ordonné et Ordonnons :Il est mis fin aux fonctions de M. Jean Guerra, Inspecteur au Service de Contrôle des Jeux, à compter du 4 avril 2018.Notre Secrétaire d'État, Notre Directeur des Services Judiciaires et Notre Ministre d'État sont chargés, chacun en ce qui le concerne, de l'exécution de la présente ordonnance.Donné en Notre Palais à Monaco, le douze mars deux mille dix-huit.ALBERT.Par le Prince,Le Secrétaire d'État :J. BOISSON.",https://journaldemonaco.gouv.mc/Journaux/2018/Journal-8375/Ordonnance-Souveraine-n-6.845-du-12-mars-2018-mettant-fin-aux-fonctions-d-un-Inspecteur-au-Service-de-Controle-des-Jeux,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/53f990f858a526943cdac099c3bbccc4.pdf
Journal n°8020du 10 juin 2011,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°8020du 10 juin 2011,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7643du 19 mars 2004,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7612du 15 août 2003,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7553du 28 juin 2002,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7546du 10 mai 2002,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
Journal n°7517du 19 octobre 2001,Arrêté Ministériel n° 2011-315 du 31 mai 2011 portant licenciement d’un Agent de police stagiaire,8020,1074,10/06/2011,"Nous, Ministre d’Etat de la Principauté,

Vu la loi n° 975 du 12 juillet 1975 portant statut des fonctionnaires de l’Etat, modifiée, notamment prise en ses articles 18 et 22 ;

Vu la loi n° 1.312 du 29 juin 2006 relative à la motivation des actes administratifs ;

Vu l’ordonnance souveraine n° 6.365 du 17 août 1978 fixant les conditions d’application de la loi n° 975 du 12 juillet 1975, modifiée, susvisée ;

Vu l’arrêté ministériel n° 2010-306 du 24 juin 2010 portant nomination d’un Agent de police stagiaire ;

Vu la lettre recommandée avec accusé de réception en date du 4 avril 2011 portant convocation de l’Agent de police stagiaire à un entretien préalable à une éventuelle mesure de licenciement; 
Vu le compte-rendu de l’entretien en date du 28 avril 2011 relatant les explications fournies par l’Agent de police stagiaire en réponse aux griefs retenus à son encontre ;

Vu la délibération du Conseil de Gouvernement en date du 25 mai 2011 ;

Considérant les faits et griefs mentionnés dans la lettre de convocation à l’entretien susvisée, dûment notifiée à M. Anthony Barriere, caractérisant une insuffisance professionnelle, ainsi que les explications fournies en réponse par l’intéressé, telles qu’exposées dans le compte-rendu susvisé ;

Arrêtons :
Article Premier.
M. Anthony Barriere est licencié pour insuffisance professionnelle à compter du 6 juin 2011. 
Art. 2.
Le Secrétaire Général du Ministère d’Etat et le Directeur des Ressources Humaines et de la Formation de la Fonction Publique sont chargés, chacun en ce qui le concerne, de l’exécution du présent arrêté.

Fait à Monaco, en l’Hôtel du Gouvernement, le trente-et-un mai deux mille onze.


Le Ministre d’Etat,
M. Roger.",https://journaldemonaco.gouv.mc/Journaux/2011/Journal-8020/Arrete-Ministeriel-n-2011-315-du-31-mai-2011-portant-licenciement-d-un-Agent-de-police-stagiaire,https://journaldemonaco.gouv.mc/var/jdm/storage/original/application/f1cb856f44915f85eb39630e04699f62.pdf
