Name,Current Price,Change,Disclosure Date,Designation,Code
Aptamer Sciences,"5,050",200,2023/06/15,2023/06/16,291650
BORATR,"19,120","2,130",2023/06/15,2023/06/16,250000
CHEILGRINDING,"8,180",160,2023/06/15,2023/06/16,001560
Dasan Solueta,"2,930",330,2023/06/15,2023/06/16,154040
KISHAPVKOSPI200- C,470,120,2023/06/15,2023/06/16,57HAPV
OSTEONIC,"6,620",640,2023/06/15,2023/06/16,226400
PROTEC,"42,550","2,550",2023/06/15,2023/06/16,053610
SECUCEN,"5,790",360,2023/06/15,2023/06/16,232830
SamaAlum,"113,800","1,800",2023/06/15,2023/06/16,006110
SambuConst,"3,800",875,2023/06/15,2023/06/16,001470
DONGIL METAL,"21,700",0,2023/06/14,2023/06/15,109860
Hantop,"2,055",45,2023/06/14,2023/06/15,002680
INSAN,"3,230",250,2023/06/14,2023/06/15,277410
KISHAPVKOSPI200- C,470,120,2023/06/14,2023/06/15,57HAPV
LiComm,"3,645",295,2023/06/14,2023/06/15,388790
MIRAEJ558KOSPI200- C,165,75,2023/06/14,2023/06/15,52J558
MIRAEJ784KOSPI200- P,75,10,2023/06/14,2023/06/15,52J784
MIRAEJ785KOSPI200- P,105,10,2023/06/14,2023/06/15,52J785
MIRAEJ787KOSPI200- P,290,30,2023/06/14,2023/06/15,52J787
MIRAEJ788KOSPI200- P,535,55,2023/06/14,2023/06/15,52J788
ManhoRope&Wire,"45,800",0,2023/06/14,2023/06/15,001080
OSTEONIC,"6,620",640,2023/06/14,2023/06/15,226400
Pangrim,"5,110",0,2023/06/14,2023/06/15,003610
SECUCEN,"5,790",360,2023/06/14,2023/06/15,232830
SINGSONGHOLDINGS,"12,820",710,2023/06/14,2023/06/15,006880
SSR,"4,620",75,2023/06/14,2023/06/15,275630
DONGWON METAL,"2,145",35,2023/06/13,2023/06/14,018500
DONGWON METAL,"2,145",35,2023/06/13,2023/06/14,018500
ECOPRO,"772,000","32,000",2023/06/13,2023/06/14,086520
HDBIO,"32,000","1,050",2023/06/13,2023/06/14,048410
KBJ100KOSPI200- C,80,35,2023/06/13,2023/06/14,58J100
KISHAPVKOSPI200- C,470,120,2023/06/13,2023/06/14,57HAPV
MIRAEJ557KOSPI200- C,110,55,2023/06/13,2023/06/14,52J557
MIRAEJ558KOSPI200- C,165,75,2023/06/13,2023/06/14,52J558
MIRAEJ559KOSPI200- C,245,75,2023/06/13,2023/06/14,52J559
Sukgyung,"61,600",500,2023/06/13,2023/06/14,357550
TERA SCIENCE,"6,300",430,2023/06/13,2023/06/14,073640
Gold&S,"1,728",14,2023/06/12,2023/06/13,035290
HanilFeed,"6,820",140,2023/06/12,2023/06/13,005860
INSAN,"3,230",250,2023/06/12,2023/06/13,277410
INSAN,"3,230",250,2023/06/12,2023/06/13,277410
ISUPETASYS,"22,450",250,2023/06/12,2023/06/13,007660
KBJ100KOSPI200- C,80,35,2023/06/12,2023/06/13,58J100
KISHAPVKOSPI200- C,470,120,2023/06/12,2023/06/13,57HAPV
Saltware,"1,673",57,2023/06/12,2023/06/13,328380
TERA SCIENCE,"6,300",430,2023/06/12,2023/06/13,073640
UNISON,"2,325",75,2023/06/12,2023/06/13,018000
DAT,"4,965",105,2023/06/09,2023/06/12,196490
DONGWON METAL,"2,145",35,2023/06/09,2023/06/12,018500
GENIANS,"17,150",460,2023/06/09,2023/06/12,263860
Gold&S,"1,728",14,2023/06/09,2023/06/12,035290
KISHAPVKOSPI200- C,470,120,2023/06/09,2023/06/12,57HAPV
Lutronic,"36,250",0,2023/06/09,2023/06/12,085370
MIRAEJ558KOSPI200- C,165,75,2023/06/09,2023/06/12,52J558
Saltware,"1,673",57,2023/06/09,2023/06/12,328380
Suprema HQ,"7,790",390,2023/06/09,2023/06/12,094840
MIRAEJ558KOSPI200- C,165,75,2023/06/08,2023/06/09,52J558
Polaris Office,"3,300",25,2023/06/08,2023/06/09,041020
SOLUX,"25,800","1,850",2023/06/08,2023/06/09,290690
Bioptro,"8,880",70,2023/06/07,2023/06/08,222160
ISUSPECIALTYCHEMICAL,"436,500","16,500",2023/06/07,2023/06/08,457190
KBHN72KOSPI200- C,-,-,2023/06/07,2023/06/08,58HN72
KBHN73KOSPI200- C,-,-,2023/06/07,2023/06/08,58HN73
KBHN74KOSPI200- C,-,-,2023/06/07,2023/06/08,58HN74
KISHAPTKOSPI200- C,355,100,2023/06/07,2023/06/08,57HAPT
KISHP67KOSPI200- C,-,-,2023/06/07,2023/06/08,57HP67
MIRAEJ321KOSPI200- C,-,-,2023/06/07,2023/06/08,52J321
MIRAEJ322KOSPI200- C,-,-,2023/06/07,2023/06/08,52J322
Olipass,"1,854",48,2023/06/07,2023/06/08,244460
mplus,"11,590",130,2023/06/07,2023/06/08,259630
AXGATE,"5,690",80,2023/06/05,2023/06/07,356680
DOBU MASK,"1,084",191,2023/06/05,2023/06/07,227420
GRT,"4,945",45,2023/06/05,2023/06/07,900290
Gold&S,"1,728",14,2023/06/05,2023/06/07,035290
JLK,"11,580",20,2023/06/05,2023/06/07,322510
JLK,"11,580",20,2023/06/05,2023/06/07,322510
KBHN72KOSPI200- C,-,-,2023/06/05,2023/06/07,58HN72
KBHN73KOSPI200- C,-,-,2023/06/05,2023/06/07,58HN73
KISHP66KOSPI200- C,-,-,2023/06/05,2023/06/07,57HP66
KISHZ53SKH- C,-,-,2023/06/05,2023/06/07,57HZ53
MIRAEJ320KOSPI200- C,-,-,2023/06/05,2023/06/07,52J320
MIRAEJ321KOSPI200- C,-,-,2023/06/05,2023/06/07,52J321
MIRAEJ327KOSPI200- C,-,-,2023/06/05,2023/06/07,52J327
MIRAEJ347KOSPI200- P,-,-,2023/06/05,2023/06/07,52J347
MIRAEJ558KOSPI200- C,165,75,2023/06/05,2023/06/07,52J558
SUNGHO,"1,723",56,2023/06/05,2023/06/07,043260
